country,"population 
(from united nations population division, world population prospects)",region,"est. prevalence of population in modern slavery (victims per 1,000 population)",est. number of people in modern slavery,factor one governance issues,factor two nourishment and access,factor three inequality,factor four disenfranchised groups,factor five effects of conflict,"final overall (normalised, weighted) vulnerability score",support survivors,%,criminal justice,%.1,coordination,%.2,neg government  complicity (1.4.3),neg state-imposed forced labour (1.8.1),address risk,%.3,supply chains,%.4,sum/104,sum neg,total,year,corruption,year_democracy,democracy score,year_gdppercapita,gdp per capita,year_lfpr,female,male,total_lfpr,year_migration,migration
Afghanistan,33736000.0,Asia and the Pacific,22.2,749000,81.0,41.3,64.7,46.0,92.6,93.9,,,,,,,,,,,,,,,,2016.0,15.0,2016.0,2.55,2016.0,2101.422,2016.0,20.946,75.615,48.449,2016.0,-90238.0
Albania,2923000.0,Europe and Central Asia,6.9,20000,46.0,20.7,44.3,48.4,27.0,45.2,6.6,72.8,3.8,63.3,2.8,68.8,-1.0,0.0,4.7,66.7,0.0,0.0,17.8,-1.0,59.9,2016.0,39.0,2016.0,5.91,2016.0,12291.902,2016.0,58.861,74.956,66.911,2016.0,-10887.0
Algeria,39872000.0,Africa,2.7,106000,63.2,17.9,27.8,37.0,43.6,52.0,2.7,29.4,2.8,47.2,1.5,37.5,0.0,0.0,3.2,45.2,0.0,0.0,10.2,0.0,36.3,2016.0,34.0,2016.0,3.56,2016.0,11888.323,2016.0,18.262,70.509,45.0,2016.0,-36227.0
Angola,27859000.0,Africa,7.2,199000,60.2,43.4,48.2,48.5,19.8,62.3,2.8,31.5,0.8,13.9,1.8,43.8,-1.0,0.0,3.8,54.8,0.0,0.0,9.3,-1.0,29.5,2016.0,18.0,2016.0,3.4,2016.0,7487.9253,2016.0,74.736,78.624,76.64,2016.0,91623.0
Antigua and Barbuda,100000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,21280.645,,,,,2016.0,16.0
Argentina,43418000.0,Americas,1.3,55000,39.3,11.4,45.0,23.6,13.4,28.9,6.3,70.0,4.2,70.6,2.5,62.5,-1.0,0.0,5.5,78.6,0.0,0.0,18.5,-1.0,62.6,2016.0,36.0,2016.0,6.96,2016.0,23189.527,2016.0,55.471,77.636,66.619,2016.0,5215.0
Armenia,2917000.0,Europe and Central Asia,5.3,16000,51.1,18.9,33.8,46.3,22.1,43.6,4.9,54.6,3.1,51.1,2.3,56.3,0.0,0.0,4.7,66.7,0.0,0.0,14.9,0.0,53.2,2016.0,33.0,2016.0,3.88,2016.0,11580.384,2016.0,65.092,76.799,70.371,2016.0,-26804.0
Australia,23800000.0,Asia and the Pacific,0.6,15000,11.9,15.7,20.7,12.0,13.0,4.3,6.3,69.6,4.5,75.0,2.3,56.3,0.0,0.0,4.8,69.0,0.0,0.0,17.9,0.0,63.8,2016.0,79.0,2016.0,9.01,2016.0,48107.066,2016.0,71.62,82.239,76.908,2016.0,242184.0
Austria,8679000.0,Europe and Central Asia,1.7,15000,12.6,12.2,18.2,23.5,3.1,3.4,6.6,72.8,3.7,61.1,2.8,68.8,0.0,0.0,4.3,61.9,0.4,18.3,17.7,0.0,63.1,2016.0,75.0,2016.0,8.41,2016.0,53345.742,2016.0,72.614,80.453,76.561,2016.0,66282.0
Azerbaijan,9617000.0,Europe and Central Asia,4.5,43000,60.3,21.2,23.9,35.7,32.5,47.8,2.5,28.0,4.3,71.7,2.5,62.5,0.0,0.0,4.2,59.5,0.0,0.0,13.5,0.0,48.2,2016.0,30.0,2016.0,2.65,2016.0,14232.192,2016.0,67.336,71.448,69.334,2016.0,1484.0
Bahamas,387000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,2016.0,66.0,,,2016.0,33484.535,,,,,,
Bahrain,1372000.0,Arab States,1.9,3000,63.0,25.8,34.5,24.0,25.4,49.6,5.0,55.2,2.2,37.2,0.8,18.8,-1.0,0.0,2.2,31.0,0.0,0.0,10.1,-1.0,32.6,2016.0,43.0,2016.0,2.79,2016.0,48486.305,2016.0,44.968,87.76,72.961,2016.0,29052.0
Bangladesh,161201000.0,Asia and the Pacific,3.7,592000,54.1,38.4,25.7,20.9,45.3,50.0,3.9,43.1,3.8,63.3,2.8,68.8,-1.0,0.0,3.0,42.9,0.0,0.0,13.4,-1.0,44.4,2016.0,26.0,2016.0,5.73,2016.0,4589.0938,2016.0,34.866,81.293,57.731,2016.0,-55013.0
Barbados,284000.0,Americas,2.7,"<1,000",47.6,14.3,52.5,47.8,9.2,41.9,4.8,53.3,1.6,26.1,1.5,37.5,0.0,0.0,3.2,45.2,0.0,0.0,11.0,0.0,39.4,2016.0,61.0,,,2016.0,16190.236,2016.0,73.107,78.395,75.65,2016.0,-65.0
Belarus,9486000.0,Europe and Central Asia,10.9,103000,64.9,16.7,23.9,39.4,20.8,47.3,4.4,48.9,1.7,27.8,1.5,37.5,0.0,-1.0,4.7,66.7,0.0,0.0,12.2,-1.0,40.1,2016.0,40.0,2016.0,3.54,2016.0,17883.19,2016.0,74.714,80.616,77.547,2016.0,15258.0
Belgium,11288000.0,Europe and Central Asia,2.0,23000,20.0,15.0,29.9,19.3,12.3,13.1,6.5,72.2,3.2,53.9,3.5,87.5,0.0,0.0,5.2,73.8,0.7,36.7,19.1,0.0,68.3,2016.0,77.0,2016.0,7.77,2016.0,49829.926,2016.0,62.829,72.272,67.58,2016.0,56781.0
Belize,359000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,9141.245,2016.0,51.389,81.818,66.598,2016.0,1283.0
Benin,10576000.0,Africa,5.5,58000,51.1,28.8,39.9,35.3,15.8,45.0,2.8,30.6,1.9,31.7,2.3,56.3,0.0,0.0,3.7,52.4,0.0,0.0,10.6,0.0,37.7,2016.0,36.0,2016.0,5.67,2016.0,2859.3916,2016.0,61.25,70.967,66.09,2016.0,3827.0
"Bolivia, Plurinational State of",10725000.0,Americas,2.1,23000,50.9,25.8,46.3,32.1,13.4,44.1,1.9,21.3,2.6,43.9,2.5,62.5,0.0,0.0,4.3,61.9,0.2,8.3,11.6,0.0,41.3,,,,,,,,,,,,
Bosnia and Herzegovina,3536000.0,Europe and Central Asia,3.4,12000,52.0,16.4,31.7,50.7,34.1,46.4,5.4,60.2,2.9,47.8,1.0,25.0,-1.0,0.0,5.3,76.2,0.0,0.0,14.6,-1.0,48.6,2016.0,39.0,2016.0,4.87,2016.0,13000.695,2016.0,43.262,68.052,55.682,2016.0,-32195.0
Botswana,2209000.0,Africa,3.4,8000,43.3,37.9,37.3,37.6,9.7,42.1,2.9,32.2,2.7,45.6,1.5,37.5,-1.0,0.0,3.2,45.2,0.0,0.0,10.3,-1.0,33.2,2016.0,60.0,2016.0,7.87,2016.0,14373.339,2016.0,58.778,69.556,64.053,2016.0,3129.0
Brazil,205962000.0,Americas,1.8,369000,43.1,13.6,56.2,19.8,24.0,36.4,3.5,38.9,2.9,47.8,3.5,87.5,0.0,0.0,5.2,73.8,0.5,26.7,15.6,0.0,55.6,2016.0,40.0,2016.0,6.9,2016.0,14402.494,2016.0,59.202,80.537,69.736,2016.0,82589.0
Brunei Darussalam,418000.0,Asia and the Pacific,10.9,5000,53.5,30.9,31.7,41.2,18.2,47.2,1.6,17.8,1.2,19.4,0.0,0.0,0.0,0.0,3.0,42.9,0.0,0.0,5.8,0.0,20.6,2016.0,58.0,,,,,2016.0,59.742,73.08,66.709,2016.0,-539.0
Bulgaria,7177000.0,Europe and Central Asia,4.5,32000,33.0,14.7,43.3,44.1,17.4,31.3,5.4,59.8,3.0,49.4,2.3,56.3,0.0,0.0,4.7,66.7,0.4,18.3,15.6,0.0,55.8,2016.0,41.0,2016.0,7.01,2016.0,20732.58,2016.0,65.118,72.848,69.027,2016.0,-14947.0
Burkina Faso,18111000.0,Africa,4.5,82000,58.4,31.6,40.3,35.2,26.2,53.1,3.4,38.1,1.8,30.0,1.8,43.8,0.0,0.0,3.0,42.9,0.0,0.0,10.0,0.0,35.7,2016.0,42.0,2016.0,4.7,2016.0,1916.7563,2016.0,59.207,74.667,66.826,2016.0,-7603.0
Burundi,10199000.0,Africa,40.0,408000,72.4,42.6,42.1,48.1,41.7,72.9,2.0,22.2,0.7,11.1,0.5,12.5,-1.0,-1.0,1.8,26.2,0.0,0.0,5.0,-2.0,10.7,2016.0,20.0,2016.0,2.4,2016.0,764.3366,2016.0,81.536,78.927,80.249,2016.0,-109490.0
Cambodia,15518000.0,Asia and the Pacific,16.8,261000,66.3,38.5,41.6,56.7,14.8,63.5,3.6,40.4,2.8,46.7,1.8,43.8,0.0,0.0,2.3,33.3,0.0,0.0,10.5,0.0,37.6,2016.0,21.0,2016.0,4.27,2016.0,3761.9114,2016.0,69.568,81.426,75.429,2016.0,-40577.0
Cameroon,22835000.0,Africa,6.9,157000,65.9,36.5,46.2,46.3,53.9,69.6,2.4,26.7,1.5,24.4,0.8,18.8,-1.0,0.0,3.5,50.0,0.0,0.0,8.1,-1.0,25.4,2016.0,26.0,2016.0,3.46,2016.0,3667.3228,2016.0,67.752,77.595,72.646,2016.0,13251.0
Canada,35950000.0,Americas,0.5,17000,16.6,20.7,20.1,9.2,21.5,10.2,4.7,52.4,4.4,72.8,3.0,75.0,0.0,0.0,4.3,61.9,0.0,0.0,16.4,0.0,58.6,2016.0,82.0,2016.0,9.15,2016.0,47460.37,2016.0,74.844,81.81,78.344,2016.0,320494.0
Cape Verde,533000.0,Africa,4.1,2000,48.7,19.7,44.1,44.1,22.1,44.5,2.1,23.5,1.0,16.1,1.0,25.0,0.0,0.0,2.3,33.3,0.0,0.0,6.4,0.0,22.9,,,2016.0,7.94,2016.0,6900.561,,,,,,
Central African Republic,4546000.0,Africa,22.3,101000,85.4,50.2,62.7,58.0,81.6,100.0,-0.3,-3.7,0.0,0.6,0.5,12.5,-1.0,0.0,1.5,21.4,0.0,0.0,1.7,-1.0,2.5,2016.0,20.0,2016.0,1.61,2016.0,818.396,2016.0,63.579,78.268,70.872,2016.0,-52758.0
Chad,14009000.0,Africa,12.0,168000,71.8,43.2,48.5,46.5,46.1,74.9,1.5,16.7,0.8,13.9,0.5,12.5,-1.0,0.0,2.8,40.5,0.0,0.0,5.7,-1.0,16.7,2016.0,20.0,2016.0,1.5,2016.0,1683.4781,2016.0,50.006,72.197,61.065,2016.0,21546.0
Chile,17763000.0,Americas,0.8,14000,28.5,13.8,50.0,23.5,20.3,25.6,6.9,76.5,3.2,53.9,2.0,50.0,0.0,0.0,5.3,76.2,0.0,0.0,17.5,0.0,62.3,2016.0,66.0,2016.0,7.78,2016.0,24599.375,2016.0,54.732,76.403,65.6,2016.0,126525.0
China,1397029000.0,Asia and the Pacific,2.8,3864000,61.4,20.5,26.9,32.4,44.2,50.6,2.1,23.5,1.8,29.4,1.8,43.8,-1.0,-1.0,3.7,52.4,0.4,18.3,9.7,-2.0,27.4,2016.0,40.0,2016.0,3.14,2016.0,13399.138,2016.0,69.961,81.607,75.932,2016.0,-153054.0
Colombia,48229000.0,Americas,2.7,131000,45.7,19.2,56.4,32.6,63.5,51.6,3.6,40.4,2.5,42.2,2.5,62.5,-1.0,-1.0,4.8,69.0,0.0,0.0,13.5,-2.0,41.1,2016.0,37.0,2016.0,6.67,2016.0,14358.168,2016.0,59.298,82.371,70.685,2016.0,79978.0
Congo,4996000.0,Africa,8.0,40000,75.1,37.6,48.5,46.1,19.6,69.2,0.8,8.3,0.4,6.7,1.0,25.0,-1.0,0.0,3.0,42.9,0.0,0.0,5.2,-1.0,14.8,,,2016.0,2.91,2016.0,4714.4385,,,,,,
"Congo, Democratic Republic of the",76197000.0,Africa,13.7,1045000,77.2,50.8,55.6,46.5,86.7,91.7,2.3,25.9,1.5,24.4,1.5,37.5,-1.0,0.0,1.0,14.3,0.0,0.0,6.3,-1.0,18.9,,,,,,,,,,,,
Costa Rica,4808000.0,Americas,1.3,6000,35.2,16.7,40.7,29.4,12.2,28.4,4.8,53.7,2.5,41.7,2.5,62.5,0.0,0.0,4.2,59.5,0.0,0.0,14.0,0.0,50.0,2016.0,58.0,2016.0,7.88,2016.0,19553.6,2016.0,50.945,78.865,64.983,2016.0,4150.0
Cote d'Ivoire,23108000.0,Africa,5.9,137000,59.5,30.1,41.7,37.5,40.9,57.2,3.1,34.4,2.2,36.7,1.8,43.8,0.0,0.0,4.7,66.7,0.2,8.3,11.9,0.0,42.4,2016.0,34.0,2016.0,3.81,2016.0,4620.349,2016.0,56.591,75.234,66.033,2016.0,-20148.0
Croatia,4236000.0,Europe and Central Asia,6.0,25000,35.7,20.2,34.1,48.3,12.2,32.7,6.9,77.0,4.7,78.3,2.3,56.3,0.0,0.0,4.8,69.0,0.4,18.3,19.1,0.0,68.2,2016.0,49.0,2016.0,6.75,2016.0,26056.287,2016.0,61.225,70.426,65.857,2016.0,-13569.0
Cuba,11461000.0,Americas,3.8,43000,60.2,25.9,37.6,47.8,17.3,52.4,1.2,13.0,0.9,15.0,0.8,18.8,0.0,0.0,3.0,42.9,0.0,0.0,5.8,0.0,20.8,2016.0,47.0,2016.0,3.46,,,2016.0,51.135,81.616,66.418,2016.0,-14454.0
Cyprus,1161000.0,Europe and Central Asia,4.2,5000,24.5,16.7,32.6,29.7,10.1,19.1,6.1,68.1,4.7,77.8,2.3,56.3,0.0,0.0,4.3,61.9,0.4,18.3,17.8,0.0,63.4,2016.0,55.0,2016.0,7.65,2016.0,36509.355,2016.0,66.691,75.624,71.214,2016.0,4878.0
Czech Republic,10604000.0,Europe and Central Asia,2.9,31000,25.1,13.9,21.0,37.1,18.2,19.1,4.2,47.0,3.3,54.4,3.3,81.3,0.0,0.0,3.5,50.0,0.6,28.3,14.8,0.0,52.9,,,,,,,,,,,,
Denmark,5689000.0,Europe and Central Asia,1.6,9000,8.7,15.3,13.8,15.2,12.5,1.0,5.6,62.6,3.4,56.1,2.0,50.0,0.0,0.0,4.8,69.0,0.6,28.3,16.4,0.0,58.6,2016.0,90.0,2016.0,9.2,2016.0,54185.008,2016.0,74.573,80.161,77.39,2016.0,22859.0
Djibouti,927000.0,Africa,7.1,7000,66.8,38.0,33.9,48.1,21.3,61.2,2.7,30.4,2.6,42.8,1.3,31.3,0.0,0.0,3.3,47.6,0.0,0.0,9.9,0.0,35.3,2016.0,30.0,2016.0,2.83,2016.0,4291.2974,2016.0,18.855,48.796,33.696,2016.0,1623.0
Dominica,,Americas,,,,,,,,,,,,,,,,,,,,,,,,2016.0,59.0,,,2016.0,12385.27,,,,,2016.0,179.0
Dominican Republic,10528000.0,Americas,4.0,42000,42.5,28.7,46.1,38.8,21.8,43.1,6.2,69.1,4.7,78.3,1.5,37.5,-1.0,0.0,4.8,69.0,0.0,0.0,17.3,-1.0,58.0,2016.0,31.0,2016.0,6.67,2016.0,15967.202,2016.0,52.203,79.388,65.914,2016.0,-30181.0
Ecuador,16144000.0,Americas,2.4,39000,46.0,23.0,46.4,29.1,23.0,41.3,5.5,61.1,3.3,55.6,1.5,37.5,-1.0,0.0,3.7,52.4,0.0,0.0,14.0,-1.0,46.4,2016.0,31.0,2016.0,5.81,2016.0,11587.825,2016.0,58.187,82.513,70.359,2016.0,27063.0
Egypt,93778000.0,Africa,5.5,518000,61.6,18.4,44.2,52.8,51.1,60.4,3.4,37.6,1.8,30.6,2.5,62.5,0.0,-1.0,4.5,64.3,0.0,0.0,12.2,-1.0,40.1,2016.0,34.0,2016.0,3.31,2016.0,10765.829,,,,,,
El Salvador,6312000.0,Americas,2.5,16000,50.5,23.0,59.8,43.6,22.7,50.7,2.9,31.7,2.4,39.4,1.8,43.8,-1.0,0.0,4.5,64.3,0.0,0.0,11.5,-1.0,37.4,2016.0,36.0,2016.0,6.64,2016.0,8447.104,2016.0,49.153,77.999,62.645,2016.0,-47499.0
Equatorial Guinea,1175000.0,Africa,6.4,7000,68.4,40.8,36.7,48.5,10.1,61.7,0.3,3.7,0.7,12.2,0.5,12.5,-1.0,0.0,1.8,26.2,0.0,0.0,3.4,-1.0,8.6,2016.0,,2016.0,1.7,2016.0,21566.057,2016.0,52.751,60.89,57.197,2016.0,17109.0
Eritrea,4847000.0,Africa,93.0,451000,71.0,50.6,33.7,48.1,25.9,69.6,0.0,0.0,-0.1,-1.1,0.0,0.0,-1.0,-1.0,1.5,21.4,0.0,0.0,1.4,-2.0,-2.0,2016.0,18.0,2016.0,2.37,,,2016.0,74.146,87.178,80.494,2016.0,-55530.0
Estonia,1315000.0,Europe and Central Asia,3.6,5000,35.2,13.7,27.4,52.2,12.4,29.2,3.7,41.3,2.2,36.1,1.8,43.8,0.0,0.0,5.7,81.0,0.4,18.3,13.7,0.0,48.8,2016.0,70.0,2016.0,7.85,2016.0,32008.934,2016.0,73.135,81.489,77.282,2016.0,1164.0
Ethiopia,99873000.0,Africa,6.1,614000,62.4,47.5,27.3,34.6,55.3,64.5,2.5,27.8,3.1,51.1,2.3,56.3,-1.0,0.0,3.3,47.6,0.0,0.0,11.2,-1.0,36.3,2016.0,34.0,2016.0,3.6,2016.0,1864.4877,2016.0,76.702,88.319,82.514,2016.0,115812.0
Fiji,892000.0,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,2016.0,,2016.0,5.64,2016.0,12179.07,2016.0,40.481,78.883,59.936,2016.0,-11139.0
Finland,5482000.0,Europe and Central Asia,1.7,9000,18.6,16.0,15.0,17.8,11.2,8.2,4.8,53.7,3.0,49.4,3.3,81.3,0.0,0.0,5.0,71.4,0.2,8.3,16.2,0.0,57.9,2016.0,89.0,2016.0,9.03,2016.0,46206.79,2016.0,74.053,77.476,75.788,2016.0,17210.0
France,64457000.0,Europe and Central Asia,2.0,129000,17.3,15.4,29.4,21.2,28.5,15.3,3.8,42.4,4.3,71.7,3.8,93.8,0.0,0.0,5.0,71.4,0.4,18.3,17.2,0.0,61.5,2016.0,69.0,2016.0,7.92,2016.0,43705.15,2016.0,68.788,75.723,72.206,2016.0,14729.0
Gabon,1930000.0,Africa,4.8,9000,56.5,27.1,36.6,47.5,12.4,49.1,2.5,27.8,0.7,11.7,1.3,31.3,0.0,0.0,2.3,33.3,0.0,0.0,6.8,0.0,24.2,2016.0,35.0,2016.0,3.74,2016.0,14783.078,2016.0,41.317,58.582,50.271,2016.0,7395.0
